id,loan_status,int_rate,addr_state,num_actv_rev_tl,num_sats,emp_length,funded_amnt,last_pymnt_amnt,annual_inc,avg_cur_bal
58,Fully Paid,14.74,IL,6,11,10,15000,15031.81,94000,18808
59,Charged Off,12.4,CA,3,10,2,4000,0,68500,716
60,Fully Paid,20,AZ,6,8,7,5000,52.78,50000,14218
61,Fully Paid,13.08,CA,9,14,8,9000,9016.84,100000,342
62,Charged Off,17.97,CA,2,6,5,17000,0,37000,5254
63,Charged Off,17.97,GA,4,4,3,21775,0,150000,1646
64,Fully Paid,14.74,OR,7,10,10,20000,629.62,145000,45270
65,Fully Paid,12.4,OR,5,10,6,16500,16811.76,97000,40514
66,Fully Paid,20,AZ,3,6,6,20000,20233.33,114146,10808
67,Fully Paid,14.74,NC,4,15,10,29500,29922.06,80000,11012
68,Fully Paid,7.02,OK,2,6,10,12600,12617.22,50000,7023
69,Fully Paid,8.19,VA,4,13,6,12000,6418.44,176000,45391
70,Fully Paid,8.19,MA,4,10,10,3000,2946.83,105000,10813
71,Fully Paid,8.19,GA,4,9,6,5000,5056.32,96000,40430
72,Fully Paid,8.19,VA,6,24,1,22000,22025.93,103000,6531
73,Fully Paid,8.19,NC,4,10,10,1000,1006.6,65000,39393
74,Fully Paid,22.5,MI,4,9,1,12950,12991.93,47000,8260
75,Fully Paid,11.02,KS,3,17,2,1500,1516.07,28000,2589
76,Charged Off,11.71,FL,2,21,1,12000,0,179000,2318
77,Charged Off,22.5,WI,5,14,10,20000,0,80000,5749
78,Fully Paid,6.46,NJ,4,7,2,20000,20043.34,51000,1964
79,Fully Paid,20,IN,3,11,5,1100,29.58,27000,2045
80,Fully Paid,11.71,WI,5,18,1,18000,18042.45,48500,2922
81,Fully Paid,14.74,NJ,3,11,7,10000,10021.21,75000,7794
82,Fully Paid,17.97,CA,3,17,5,32000,32527.12,72000,17013
83,Fully Paid,11.02,LA,4,10,4,10000,2063.84,94000,7786
84,Fully Paid,20,ID,5,17,10,2400,2425.33,45000,21672
85,Fully Paid,11.02,CA,6,13,10,6000,6065.86,170000,42114
86,Fully Paid,20,UT,4,12,2,8000,8255.23,130000,25449
87,Fully Paid,8.81,VA,4,13,10,1500,1512.45,73000,10402
88,Fully Paid,15.57,MA,8,13,6,6025,6045.38,67000,2652
89,Fully Paid,6.46,AZ,4,14,10,15000,15013.54,35000,10702
90,Charged Off,13.9,CA,5,10,10,30000,0,72000,8873
91,Fully Paid,13.08,PA,3,10,1,26000,26375.55,50000,30238
92,Fully Paid,7.02,NY,1,7,1,1400,1406.01,47256,1855
93,Fully Paid,11.02,WA,7,20,2,33000,33303.05,78769,8933
94,Fully Paid,12.4,CA,3,8,2,1200,1209.09,42482,3822
95,Fully Paid,28.8,TX,7,10,9,4000,4133.72,57500,1720
96,Fully Paid,8.19,PA,9,14,10,22000,22145.15,100000,21783
97,Fully Paid,17.19,NM,4,26,2,15000,3679.7,100000,16184
98,Fully Paid,17.19,GA,5,8,6,20000,20200.55,46000,5428
99,Charged Off,11.71,WA,5,21,2,20000,0,72000,1915
100,Fully Paid,8.19,MS,4,11,10,24000,24336.42,50000,30614
101,Fully Paid,16.4,UT,4,8,3,14925,15202.95,133500,8873
102,Fully Paid,12.4,WA,3,13,8,14000,14130.2,190000,8873
103,Fully Paid,7.56,CA,2,7,1,1100,1109.41,92000,3350
104,Fully Paid,12.4,NJ,5,6,3,12000,12058.21,53000,1779
105,Fully Paid,6.46,CT,2,6,4,12000,6418.44,103000,44904
106,Fully Paid,17.19,PA,1,9,6,4000,26.74,50000,2742
107,Fully Paid,8.81,NY,1,9,1,12000,12021.09,82000,24107
108,Fully Paid,10.33,IL,2,13,3,2800,2816.07,58000,1971
109,Fully Paid,28.8,PA,5,9,7,6000,6129.6,63000,5600
110,Fully Paid,7.56,PA,2,7,10,26225,26263.55,118200,9315
111,Fully Paid,28.8,NV,7,14,10,20000,20052.8,51000,14320
112,Fully Paid,13.08,IN,3,10,3,18500,18887.62,88000,27551
113,Fully Paid,11.71,AZ,2,7,6,8000,8018.22,73336,2126
114,Fully Paid,12.4,WA,4,9,3,7200,7315.59,86000,30187
115,Fully Paid,12.4,CT,6,10,10,18000,18099.2,46000,20271
116,Fully Paid,14.74,IL,3,5,6,2000,2004.91,50000,461
117,Fully Paid,20,IN,3,7,6,18000,18250,100000,34897
118,Fully Paid,7.02,TX,2,8,1,4800,4001.05,58000,1786
119,Fully Paid,15.57,AL,4,7,10,25000,25035.68,59000,7278
120,Fully Paid,13.9,MO,6,10,5,8000,8049.42,50000,5378
121,Fully Paid,12.4,OH,4,8,9,16500,16676.18,35000,5791
122,Fully Paid,7.56,WA,3,13,10,25000,25053.81,74000,17893
123,Fully Paid,13.08,WI,2,8,10,9600,9762.58,27000,20600
124,Fully Paid,22.5,PA,7,17,6,21825,21870.01,45000,3458
125,Fully Paid,8.81,GA,4,9,6,12500,2560.15,25000,1122
126,Fully Paid,28.8,NC,2,5,9,17600,17647.31,40000,4585
127,Fully Paid,11.02,MA,1,6,3,12000,6418.44,72000,8873
128,Charged Off,17.97,NY,11,22,2,3600,0,69000,14567
129,Fully Paid,12.4,CA,10,14,10,20000,20336.34,104720,5645
130,Fully Paid,12.4,CT,8,16,1,21600,21623.44,72000,21920
131,Fully Paid,8.19,VA,2,6,3,5000,5008.75,88000,4578
132,Fully Paid,20,TN,2,12,10,6000,6076.67,51600,2940
133,Fully Paid,17.19,CA,7,13,1,5000,5017.95,56000,687
134,Fully Paid,7.02,MN,3,6,10,6000,6032.76,55000,35845
135,Fully Paid,17.19,CT,5,17,10,35000,35056.15,94000,3729
136,Fully Paid,15.57,IL,4,9,1,16000,16023.25,105000,15733
137,Fully Paid,13.9,GA,5,11,2,18000,18022.94,128000,37125
138,Fully Paid,16.4,MD,3,10,10,10000,10265.91,125000,9307
139,Fully Paid,12.4,MI,6,9,6,30000,30058.69,85000,4852
140,Fully Paid,13.08,GA,1,4,1,3025,3064.42,60000,39965
141,Fully Paid,14.74,KS,5,11,10,4800,4885.86,96000,7916
142,Fully Paid,11.71,CT,2,4,5,10000,10010.73,31000,20742
143,Charged Off,8.81,OK,4,11,10,20000,634.23,100000,10782
144,Fully Paid,8.81,NY,10,16,10,5000,5003.98,124000,19353
145,Fully Paid,14.74,IL,4,5,10,10000,10183.55,56000,8873
146,Fully Paid,14.74,NY,6,16,10,12000,12272.3,52000,1580
147,Charged Off,16.4,CA,12,17,6,15000,530.33,45000,1515
148,Fully Paid,11.02,NJ,8,20,4,24000,24023.14,75000,1197
149,Fully Paid,10.33,NM,6,15,6,20000,20018.94,100000,19324
150,Fully Paid,10.33,TN,5,14,10,6400,6414.69,65000,2546
151,Fully Paid,20,NJ,5,11,10,10000,10083.33,43000,1587
152,Fully Paid,10.33,CA,4,11,6,4500,4566.47,105000,33134
153,Fully Paid,13.08,CA,6,12,2,15000,15017.99,132000,41066
154,Fully Paid,16.4,NJ,12,25,7,7000,7031.89,91000,11738
155,Fully Paid,20,MO,12,24,1,30000,30927.86,170000,16712
156,Fully Paid,11.02,AZ,3,9,2,5000,5083.28,65000,20739
157,Fully Paid,8.19,MD,6,10,1,18000,32.67,88000,1865
158,Fully Paid,16.4,WI,4,9,1,10000,10015.31,82000,28037
159,Fully Paid,17.97,CA,6,7,10,14000,14023.48,36000,2001
160,Fully Paid,16.4,CA,7,23,10,25000,25079.72,45000,6797
161,Charged Off,11.71,TX,4,7,10,8000,279.61,30000,3772
162,Charged Off,13.9,HI,6,7,1,5000,170.65,52000,2162
163,Fully Paid,13.9,PA,6,15,10,22000,22194.37,100000,14035
164,Fully Paid,15.57,WI,3,11,2,13000,13134.94,120000,34593
165,Fully Paid,11.02,MI,4,20,1,39075,6418.44,72000,13251
166,Fully Paid,7.56,OR,2,8,10,2500,101.81,41000,26059
167,Fully Paid,10.33,CA,8,11,1,16000,16015.43,162000,1745
168,Fully Paid,6.46,NE,7,13,10,5000,5036.54,32000,10613
169,Fully Paid,13.08,NY,4,21,4,10000,10079.93,70000,9102
170,Fully Paid,17.19,NY,10,17,6,12000,22.43,61500,1515
171,Fully Paid,13.9,NJ,5,15,10,14500,14639.97,61000,1689
172,Fully Paid,7.56,HI,5,16,9,7000,7004.78,147000,3386
173,Fully Paid,11.02,TX,10,21,10,37625,37663.7,144552,22380
174,Fully Paid,15.57,NJ,3,7,10,15000,15021.41,145000,17043
175,Charged Off,20,TX,9,19,5,20000,0,90000,17787
176,Fully Paid,7.56,NC,2,7,8,9000,9032.13,83000,8873
177,Charged Off,11.71,TX,4,9,6,6500,0,36000,1056
178,Fully Paid,11.71,MT,7,10,6,10000,10010.93,78500,1292
179,Fully Paid,28.8,MD,6,12,9,25000,26091.1,108000,20138
180,Charged Off,16.4,CA,2,5,1,19200,0,92000,73
181,Fully Paid,15.57,MD,7,8,10,26450,26593.63,58780,33749
182,Fully Paid,7.02,CA,7,19,9,7200,7219.66,144000,25924
183,Fully Paid,6.46,TX,2,7,7,7700,7738.69,90000,44092
184,Fully Paid,22.5,WV,3,6,9,28000,28092.75,102000,6331
185,Charged Off,22.5,CA,4,5,6,2000,76.9,18000,1458
186,Fully Paid,13.08,OH,5,9,6,5000,5076.12,50000,1634
187,Fully Paid,10.33,CA,1,4,1,2200,2228.18,40800,3003
188,Fully Paid,15.57,CA,3,11,10,3000,32.76,55000,5602
189,Fully Paid,6.46,FL,2,15,5,24000,24030.53,101000,2067
190,Fully Paid,28.8,CA,6,9,6,10000,10381.44,61000,3384
191,Charged Off,17.97,AZ,5,14,6,13600,0,42000,15496
192,Fully Paid,15.57,GA,7,12,6,4000,4009.46,57612,4790
193,Fully Paid,10.33,TX,3,5,3,15000,485.77,70000,2167
194,Fully Paid,20,CA,4,11,2,15000,15332.51,83000,34900
195,Charged Off,13.9,MO,9,17,2,12000,278.6,72000,3227
196,Fully Paid,17.97,AR,10,12,1,35000,35092.6,78500,24373
197,Fully Paid,22.5,OH,3,7,3,28000,28525,150000,35957
198,Fully Paid,22.5,CA,6,10,2,6000,6167.64,180000,8873
199,Charged Off,12.4,ME,3,7,1,10000,334.06,30000,34004
200,Fully Paid,20,MO,5,17,7,24000,24700.38,72000,11435
201,Charged Off,7.56,MO,4,14,6,5000,5029.4,70000,14194
202,Fully Paid,12.4,NY,9,10,6,1000,1003.79,48600,3008
203,Charged Off,20,NY,3,4,10,20000,0,98000,389
204,Charged Off,20,UT,2,9,1,2200,81.76,45000,18172
205,Charged Off,14.74,CA,5,8,1,10000,236.54,30000,1439
206,Fully Paid,13.08,MA,1,4,10,6025,6036.6,56000,1521
207,Fully Paid,13.9,MA,7,17,9,14000,14075.68,82000,3479
208,Fully Paid,17.97,TX,2,6,4,12000,12185.63,80000,8198
209,Charged Off,20,OH,4,10,2,7200,0,50000,14023
210,Charged Off,13.9,PA,0,10,6,25000,580.42,64800,3045
211,Fully Paid,11.02,VA,7,17,10,10000,10016.07,29286,8333
212,Charged Off,16.4,FL,3,6,10,21375,755.71,160000,3116
213,Fully Paid,17.97,TX,6,13,10,35000,35092.6,103000,10933
214,Charged Off,13.9,OH,8,16,2,6600,225.26,50000,13767
215,Charged Off,20,LA,5,9,10,10000,371.64,71000,26515
216,Fully Paid,22.5,IN,5,16,3,14400,14456.7,91920,4272
217,Charged Off,11.02,FL,6,11,6,20000,435.05,39900,5839
218,Fully Paid,6.46,CA,3,4,4,8000,8028.71,75000,6803
219,Fully Paid,10.33,MD,2,6,10,20000,20143.47,120000,15014
220,Charged Off,11.71,SC,6,14,1,20000,661.52,72000,24860
221,Fully Paid,15.57,TX,7,10,10,10000,10142.58,125008,5567
222,Fully Paid,17.19,CT,4,10,4,27875,28391.54,133000,14829
223,Charged Off,16.4,CA,3,8,5,36000,1272.78,129000,2330
224,Fully Paid,17.19,OH,7,15,1,2525,2509.76,24000,2372
225,Charged Off,14.74,CT,1,12,6,1000,34.54,15000,1623
226,Charged Off,16.4,WA,2,6,10,3500,123.75,51000,5260
227,Charged Off,17.97,KS,4,10,2,4800,0,71450,27779
228,Fully Paid,13.9,AR,8,13,1,20000,20299.6,60000,12691
229,Fully Paid,17.19,NC,4,10,1,32000,32158.23,30000,40203
230,Fully Paid,10.33,NC,1,9,7,30000,30343.23,38997,19
231,Charged Off,20,CA,3,8,10,5000,0,62000,16812
232,Fully Paid,8.81,FL,1,16,5,1000,1002.69,100000,4697
233,Fully Paid,8.81,NY,1,2,8,4800,4736.54,25000,7065
234,Charged Off,16.4,VA,1,5,6,18000,0,67152,3288
235,Charged Off,15.57,NY,6,8,10,32000,0,72000,5245
236,Charged Off,12.4,MA,3,5,6,7000,467.68,37600,1045
237,Fully Paid,20,CA,6,12,2,15000,14899.09,48000,1934
238,Fully Paid,8.81,KS,9,11,10,2400,2422.66,62000,4244
239,Fully Paid,8.81,WA,5,13,5,17000,16731.22,72000,19833
240,Fully Paid,17.19,IN,6,17,1,25000,25310.38,65000,3072
241,Fully Paid,20,LA,8,10,10,20000,20200,40000,2331
242,Fully Paid,15.57,MA,2,6,2,14525,14594.1,39000,22017
243,Fully Paid,13.08,MI,7,13,3,8000,8014.97,75000,11838
244,Fully Paid,7.56,TX,1,9,4,3000,3005.04,48000,22972
245,Fully Paid,16.4,NJ,11,18,4,20000,20381.48,80000,9557
246,Fully Paid,12.4,TX,6,13,10,16800,17076.5,55000,11290
247,Fully Paid,20,FL,4,8,5,10000,10072.2,47000,3142
248,Fully Paid,6.46,MO,3,6,10,11000,11103.47,100000,8873
249,Fully Paid,8.81,SD,1,9,1,1750,11.13,48000,21743
250,Charged Off,14.74,GA,2,3,5,3025,104.48,50000,752
251,Fully Paid,8.81,CA,7,10,1,14000,14129.85,155000,2977
252,Fully Paid,11.02,FL,1,7,1,30000,30122.29,60000,3490
253,Fully Paid,14.74,FL,6,8,5,8000,48.04,20000,3131
254,Charged Off,17.19,WA,11,24,1,12000,1429.9,73600,17988
255,Fully Paid,14.74,GA,4,7,8,30000,30502.08,52000,5695
256,Fully Paid,8.81,MO,3,11,7,11500,11514.58,45000,3687
257,Fully Paid,13.9,IN,2,23,6,20000,20040,60000,8378
258,Charged Off,13.08,CA,1,7,10,12000,0,128000,2396
259,Charged Off,22.5,NY,5,7,10,4400,169.18,51480,1999
260,Charged Off,11.02,NY,2,6,9,20000,654.97,105000,4071
261,Charged Off,16.4,TX,8,14,1,16000,392.5,120000,35136
262,Fully Paid,6.46,NH,9,15,10,37900,38208.9,109000,3706
263,Fully Paid,14.74,TX,6,22,10,10000,10143.31,120000,5634
264,Charged Off,13.08,CA,5,12,3,32000,1.06,150000,8873
265,Fully Paid,13.08,LA,13,20,10,12000,12022.45,75000,2787
266,Charged Off,8.19,MA,6,10,6,12000,377.09,110000,10856
267,Charged Off,14.74,OH,10,15,5,2200,75.99,140000,5267
268,Fully Paid,13.9,LA,6,6,4,3200,3218.53,25000,1045
269,Fully Paid,7.56,MI,4,12,4,6000,7.37,99000,21403
270,Fully Paid,20,VA,1,7,2,25000,25071.94,100006,17214
271,Charged Off,12.4,WI,3,10,1,3500,116.92,30000,8032
272,Fully Paid,11.02,NY,4,7,10,12000,12038.88,72000,2914
273,Charged Off,20,NY,5,17,1,4000,0,76000,4392
274,Fully Paid,22.5,CA,3,4,3,6000,118.75,40000,5300
275,Charged Off,7.56,PA,3,8,10,35000,1089.69,128000,41351
276,Fully Paid,14.74,CA,5,8,9,12000,12211.02,38000,2773
277,Fully Paid,15.57,WA,7,13,6,14400,14480.96,74500,4587
278,Charged Off,13.9,MA,12,20,10,10000,341.3,135000,26485
279,Fully Paid,11.02,GA,8,10,5,8000,7890.21,45000,12313
280,Fully Paid,20,AZ,8,11,3,33600,33696.69,85000,7936
281,Fully Paid,14.74,NV,6,25,3,12000,11914.61,85000,18733
282,Fully Paid,17.97,AR,11,16,10,12000,12214.88,140000,4388
283,Charged Off,7.56,NY,2,7,10,12000,0,45000,621
284,Fully Paid,11.71,PA,7,16,1,17000,17082.95,55000,9923
285,Fully Paid,11.71,NY,7,15,8,16000,562.2,58000,7791
286,Fully Paid,28.8,FL,4,8,10,6000,6024.86,43000,4858
287,Fully Paid,15.57,OH,3,8,10,12000,12145.32,65000,22472
288,Fully Paid,20,AL,9,26,10,26400,26475.97,72000,12747
289,Fully Paid,20,TX,4,10,6,4600,153.27,90000,15728
290,Fully Paid,18.94,TX,11,23,1,30000,29929.07,72000,15650
291,Fully Paid,17.97,CA,6,10,10,25000,25077.12,43000,2481
292,Charged Off,17.19,MS,4,7,10,5950,0,150000,8873
293,Fully Paid,8.19,TX,11,27,8,14000,14019.11,99500,17585
294,Charged Off,13.9,TX,11,22,4,15000,150,92000,13081
295,Charged Off,11.71,OH,3,13,1,30000,689.95,136000,6814
296,Fully Paid,16.4,CA,1,3,2,1000,0.91,65000,49
297,Charged Off,17.19,LA,4,11,5,7800,0,47000,29138
298,Charged Off,13.08,TX,3,7,7,14000,654.2,121000,28290
299,Fully Paid,12.4,OK,5,11,6,3000,3062.63,90000,17477
300,Charged Off,14.74,FL,7,14,10,10000,345.39,75000,15407
301,Fully Paid,16.4,FL,6,8,6,5000,5027.74,38000,10585
302,Fully Paid,20,CA,6,7,10,25000,25291.67,100000,44203
303,Charged Off,28.8,CT,5,14,10,10000,424.97,123000,22735
304,Fully Paid,25,NY,12,17,6,8000,11.11,40000,3189
305,Fully Paid,11.71,PA,3,7,1,9000,9093.54,53500,3130
306,Fully Paid,22.5,CA,5,11,5,18000,18421.83,52000,1700
307,Fully Paid,12.4,CA,1,5,2,2000,1116.79,55000,32258
308,Fully Paid,11.02,MO,4,10,6,4000,4023.26,40000,149
309,Charged Off,20,NC,6,10,1,14400,0,60000,4164
310,Charged Off,12.4,NJ,11,16,10,1500,0,91000,14542
311,Fully Paid,28.8,OH,4,7,1,9000,9122.4,27252,3297
312,Fully Paid,11.71,IL,4,6,3,15000,15025.27,65000,41834
313,Charged Off,14.74,CA,2,3,10,22000,0,150000,8873
314,Charged Off,8.81,PA,4,26,10,18000,0,40000,9415
315,Fully Paid,7.02,CA,5,8,2,10000,10109.83,72000,19775
316,Fully Paid,13.9,MA,7,15,10,13000,13115.45,89000,2693
317,Charged Off,8.19,FL,4,14,10,15000,0,72000,36333
318,Charged Off,20,TX,2,11,1,5000,350,95000,3974
319,Fully Paid,13.9,NJ,4,17,3,5400,0.76,60000,539
320,Fully Paid,8.19,CA,3,6,6,32000,32203.84,120000,2688
321,Fully Paid,11.71,AL,8,16,10,6500,6418.44,36400,1369
322,Fully Paid,13.08,NJ,3,8,5,16000,16208.87,140000,2357
323,Fully Paid,13.9,VA,12,13,10,25000,25031.85,70000,23386
324,Fully Paid,15.57,PA,10,12,6,6000,57.09,70000,14700
325,Fully Paid,8.19,IN,7,18,1,12000,6418.44,72000,8873
326,Fully Paid,10.33,GA,5,9,10,6000,6041.32,58000,1502
327,Fully Paid,10.33,CT,1,7,10,12000,6418.44,100000,41354
328,Fully Paid,11.02,TX,10,19,10,25000,25229.58,110000,20822
329,Fully Paid,20,OH,3,8,10,2750,2794.31,72000,8873
330,Charged Off,7.02,OH,4,16,10,8000,0,73000,11580
331,Fully Paid,20,MS,6,13,6,10000,10111.11,108000,7644
332,Fully Paid,11.71,CA,13,18,3,23500,23524.84,84000,15831
333,Fully Paid,8.81,OH,2,10,4,35000,35028.27,130000,33521
334,Fully Paid,15.57,AZ,4,9,10,16500,16699.82,72000,29005
335,Fully Paid,10.33,NJ,4,8,1,15000,15246.77,102000,6745
336,Fully Paid,25,TX,3,11,10,24000,24500,120000,39209
337,Fully Paid,8.19,NY,4,20,10,8000,8016.38,47000,1633
338,Charged Off,17.19,NY,7,8,7,6400,0,69000,4516
339,Fully Paid,25,NY,4,6,2,20000,20045.83,15600,610
340,Fully Paid,17.19,IN,3,7,6,10000,10171.82,34000,19769
341,Fully Paid,13.08,TX,10,16,6,2300,2339.69,60000,1501
342,Fully Paid,28.8,IL,3,6,1,10000,10224,36000,3670
343,Fully Paid,17.97,FL,4,7,10,12000,12043.01,150000,41035
344,Fully Paid,12.4,AR,3,6,6,5000,4026.01,10320,1205
345,Fully Paid,16.4,NY,3,13,6,8000,5615.49,38000,1342
346,Fully Paid,7.56,VA,5,10,1,12000,12127.21,60000,24992
347,Fully Paid,16.4,NJ,6,9,10,24000,24457.77,75000,8068
348,Fully Paid,13.9,CT,1,4,9,30000,30038.92,62000,35066
349,Charged Off,20,NY,3,7,1,15000,557.46,77000,1957
350,Charged Off,17.19,TN,8,13,1,25000,623.88,32000,2460
351,Charged Off,11.71,NH,5,11,10,30000,662.95,44000,14575
352,Charged Off,20,IL,11,13,1,25000,700,70000,7736
353,Fully Paid,25,MO,5,13,10,25000,25057.29,68000,12479
354,Charged Off,17.19,NJ,4,23,7,30000,1072.43,75000,2045
355,Fully Paid,10.33,WA,3,10,10,6000,6013.77,54000,30277
356,Fully Paid,14.74,IL,3,13,10,10000,10013.51,100000,9766
357,Fully Paid,10.33,MI,3,6,4,10000,10009.47,10000,2192
358,Charged Off,8.81,TX,12,15,6,7000,221.98,36000,3854
359,Fully Paid,13.08,NC,9,12,3,17500,17678.03,98000,32230
360,Fully Paid,20,VA,2,14,10,30000,30109.4,137512,10717
361,Charged Off,13.9,VA,4,8,6,9600,327.64,56000,4500
362,Fully Paid,17.97,MD,2,3,1,3000,3050.79,45000,3302
363,Charged Off,13.9,VA,6,9,2,15000,511.94,67900,3370
364,Fully Paid,6.46,TX,2,11,10,5000,5036.54,100000,19156
365,Fully Paid,6.46,TX,1,4,1,3500,3526.8,50000,37519
366,Fully Paid,17.19,IL,5,13,1,25000,25039.39,72000,6584
367,Fully Paid,16.4,NY,2,4,2,6400,6409.62,28000,4832
368,Fully Paid,11.71,AL,5,13,3,5500,5572.89,100000,8626
369,Fully Paid,28.9,WA,7,7,6,1250,1298.83,14400,206
370,Fully Paid,20,GA,5,7,3,19000,19619.77,65000,5778
371,Fully Paid,17.97,AZ,7,15,10,8000,8013.18,185000,35803
372,Fully Paid,11.71,VA,5,12,6,16175,97.63,106000,28688
373,Charged Off,17.97,NJ,7,9,1,24000,0,93000,4783
374,Fully Paid,11.71,NJ,4,6,2,2400,2402.58,54000,1041
375,Fully Paid,7.56,NH,1,12,2,5000,5011.8,38000,18749
376,Charged Off,16.4,NV,7,8,1,25000,883.88,60000,3533
377,Fully Paid,20,NY,4,6,1,7000,7066.11,35000,1350
378,Fully Paid,11.71,MN,10,12,10,9000,9090.68,125000,12402
379,Fully Paid,11.8,CA,1,7,10,12000,6418.44,65000,19704
380,Fully Paid,13.08,MI,5,10,10,6000,6007.19,70000,11056
381,Fully Paid,16.4,IN,8,8,2,16000,16024.49,120000,281
382,Charged Off,10.33,FL,5,8,6,7000,226.96,17775,1257
383,Charged Off,13.9,NY,2,20,6,12000,928.66,87000,6645
384,Fully Paid,11.71,TX,3,9,6,8350,8251.16,30463,13507
385,Fully Paid,11.71,IL,4,13,5,14000,14247.81,28000,14778
386,Fully Paid,7.02,CO,1,6,4,6000,6026.91,40000,8873
387,Fully Paid,28.8,OH,13,19,5,20000,20064,53000,6488
388,Charged Off,17.19,NY,4,13,5,30000,1072.43,97000,4833
389,Charged Off,17.19,MA,3,6,1,8500,303.86,125000,8873
390,Fully Paid,12.4,NC,2,11,10,8000,8114.97,55000,15091
391,Fully Paid,8.81,PA,4,24,10,12000,12005.87,81000,5332
392,Fully Paid,12.4,TX,1,4,1,12000,6418.44,160000,8873
393,Fully Paid,7.56,GA,4,9,10,30000,30020.16,89000,27405
394,Fully Paid,22.5,NY,3,9,10,25000,25051.56,108000,21255
